===== Monitoring started: 2026-04-14 19:09:18 =====
[2026-04-14 19:09:18] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:09:24] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:09:29] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:09:34] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:09:39] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:09:45] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:09:50] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:09:55] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:00] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:05] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:10] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:16] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:21] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:26] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:31] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:36] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:41] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:47] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:52] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:10:57] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:11:02] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:11:07] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:11:12] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:11:18] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:11:23] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:11:28] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-14 19:11:33] TOP_CPU: yes (PID=790, CPU=99.9%) | UNAUTHORIZED: 3 | LOG_ANOMALY: YES | STATUS: CRITICAL
